datetime,money,hour,day,month,weekday,Year,coffee_name_Americano with Milk,coffee_name_Cappuccino,coffee_name_Cocoa,coffee_name_Cortado,coffee_name_Espresso,coffee_name_Hot Chocolate,coffee_name_Latte,cash_type_1
15:50.5,38.7,10,1,3,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
19:22.5,38.7,12,1,3,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
20:18.1,38.7,12,1,3,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
46:33.0,28.9,13,1,3,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
48:14.6,38.7,13,1,3,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
39:47.7,33.8,15,1,3,4,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
19:02.8,38.7,16,1,3,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
39:03.6,33.8,18,1,3,4,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
22:01.8,38.7,19,1,3,4,2024,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
23:15.9,33.8,19,1,3,4,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
29:17.4,33.8,19,1,3,4,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
22:07.0,28.9,10,2,3,5,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
30:35.7,40,10,2,3,5,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
41:41.2,33.8,10,2,3,5,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
59:45.5,33.8,11,2,3,5,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
38:35.5,28.9,14,2,3,5,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
37:24.5,33.8,16,2,3,5,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
34:55.0,28.9,17,2,3,5,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10:44.0,40,10,3,3,6,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
27:18.6,38.7,10,3,3,6,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
33:56.1,28.9,11,3,3,6,2024,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
26:56.1,28.9,12,3,3,6,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
09:36.3,38.7,13,3,3,6,2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
06:40.3,38.7,17,3,3,6,2024,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
08:45.9,28.9,17,3,3,6,2024,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
03:23.4,33.8,18,3,3,6,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
04:27.9,33.8,18,3,3,6,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
08:05.0,38.7,18,3,3,6,2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
